Wall time,Step,Value
1503327024.4065151,0,0.375
1503327044.9207695,100,0.28515625
1503327089.5973232,300,0.73046875
1503327112.828727,400,0.703125
1503327137.8807614,500,0.8671875
1503327159.263563,600,0.90234375
1503327180.972315,700,0.66015625
1503327203.4307852,800,0.72265625
1503327223.8113258,900,0.7578125
1503327246.9294772,1000,0.796875
1503327266.8410301,1100,0.921875
1503327287.1090353,1200,0.859375
1503327306.2077477,1300,0.92578125
1503327324.9077737,1400,0.93359375
1503327343.6979594,1500,0.9375
1503327362.9532409,1600,0.859375
1503327381.933559,1700,0.91015625
1503327400.676762,1800,0.90234375
1503327419.411161,1900,0.9140625
1503327438.4795609,2000,0.9375
1503327457.257375,2100,0.8515625
1503327475.8595893,2200,0.9375
1503327494.6206827,2300,0.94921875
1503327513.4193537,2400,0.98046875
1503327531.9037907,2500,0.80078125
1503327550.2015662,2600,0.84375
1503327568.6851742,2700,0.87109375
1503327606.1511257,2900,0.8515625
1503327624.645957,3000,0.9140625
1503327643.245318,3100,0.890625
1503327662.0897553,3200,0.91015625
1503327684.2069058,3300,0.953125
1503327706.449323,3400,0.953125
1503327752.1873777,3600,0.91796875
1503327774.1943986,3700,0.91796875
1503327793.399425,3800,0.890625
1503327816.8110845,3900,0.93359375
1503327840.9577239,4000,0.9140625
1503327885.3459396,4200,0.90625
1503327907.7419171,4300,0.90625
1503327932.2418642,4400,0.92578125
1503327954.395288,4500,0.9375
1503327976.9342628,4600,0.96875
1503327996.9311342,4700,0.609375
1503328038.0314825,4900,0.8984375
1503328057.99821,5000,0.9140625
1503328101.2305293,5200,0.89453125
1503328123.83008,5300,0.94140625
1503328143.5424097,5400,0.94921875
1503328163.0636165,5500,0.94921875
1503328182.8445075,5600,0.84765625
1503328202.4381912,5700,0.953125
1503328241.228232,5900,0.96484375
1503328260.6960218,6000,0.90234375
1503328280.076607,6100,0.953125
1503328299.4949944,6200,0.8984375
1503328318.8875713,6300,0.87109375
1503328338.1428668,6400,0.9140625
1503328357.312984,6500,0.98046875
1503328376.69093,6600,0.87890625
1503328396.0156157,6700,0.84375
1503328415.3557377,6800,0.890625
1503328434.8726707,6900,0.9140625
1503328473.5179465,7100,0.86328125
1503328492.9692745,7200,0.94921875
1503328512.4339912,7300,0.7265625
1503328531.780593,7400,0.671875
1503328551.1491687,7500,0.640625
1503328570.4320347,7600,0.74609375
1503328589.8282478,7700,0.8125
1503328612.2401633,7800,0.87109375
1503328631.466747,7900,0.86328125
1503328669.9377825,8100,0.84765625
1503328689.2725232,8200,0.875
1503328727.902439,8400,0.87109375
1503328747.1253486,8500,0.90625
1503328766.289448,8600,0.890625
1503328785.5699797,8700,0.87890625
1503328804.911641,8800,0.92578125
1503328824.220464,8900,0.93359375
1503328862.0273223,9100,0.625
1503328880.346083,9200,0.890625
1503328898.8842652,9300,0.90234375
1503328917.5730824,9400,0.8671875
1503328935.8990252,9500,0.94921875
1503328954.5085862,9600,0.8984375
1503328972.853404,9700,0.8125
1503329009.8312094,9900,0.94140625
1503329028.217297,10000,0.9296875
1503329046.921683,10100,0.953125
1503329065.512339,10200,0.95703125
1503329083.772788,10300,0.91796875
1503329102.2663496,10400,0.93359375
1503329120.4928734,10500,0.94140625
1503329139.0114875,10600,0.95703125
1503329157.3590312,10700,0.91796875
1503329175.8418636,10800,0.96875
1503329194.3539853,10900,0.9453125
1503329212.619478,11000,0.9375
1503329231.1931825,11100,0.92578125
1503329251.2772138,11200,0.94140625
1503329270.136716,11300,0.890625
1503329288.880247,11400,0.81640625
1503329307.5655477,11500,0.9140625
1503329326.313288,11600,0.91796875
1503329344.9248526,11700,0.91015625
1503329363.8775196,11800,0.94140625
1503329382.6411166,11900,0.78125
1503329401.3536458,12000,0.91015625
1503329419.9652991,12100,0.79296875
1503329439.0290036,12200,0.82421875
1503329457.9010558,12300,0.875
1503329476.485904,12400,0.89453125
1503329495.2167218,12500,0.87109375
1503329514.1651618,12600,0.84375
1503329532.6503744,12700,0.91015625
1503329570.2841222,12900,0.6796875
1503329589.157962,13000,0.63671875
1503329645.3121204,13300,0.83984375
1503329663.804604,13400,0.90625
1503329701.2338455,13600,0.953125
1503329719.6998465,13700,0.9375
1503329757.1372578,13900,0.953125
1503329794.8443923,14100,0.94921875
1503329813.4890814,14200,0.92578125
1503329832.3051956,14300,0.9453125
1503329851.020945,14400,0.95703125
1503329869.862641,14500,0.83984375
1503329888.4200194,14600,0.62109375
1503329925.7370915,14800,0.6875
1503329944.2159355,14900,0.71484375
1503329958.9592223,15000,0.69921875
1503329973.7268589,15100,0.81640625
1503330003.2268255,15300,0.91796875
1503330018.1888227,15400,0.93359375
1503330033.0797462,15500,0.96875
1503330047.8279936,15600,0.9453125
1503330062.6874328,15700,0.9375
1503330077.6673748,15800,0.921875
1503330092.5381653,15900,0.91015625
1503330122.2227595,16100,0.93359375
1503330136.9679224,16200,0.87890625
1503330166.616801,16400,0.95703125
1503330181.4951856,16500,0.9375
1503330211.1134322,16700,0.9375
1503330225.9403455,16800,0.9609375
1503330240.829237,16900,0.91015625
1503330270.5059147,17100,0.953125
1503330285.3221986,17200,0.94921875
1503330300.1657622,17300,0.953125
1503330329.843775,17500,0.97265625
1503330344.7232554,17600,0.60546875
1503330359.4735336,17700,0.96875
1503330375.1283066,17800,0.95703125
1503330408.0888343,18000,0.96484375
1503330423.023585,18100,0.95703125
1503330440.2825384,18200,0.96484375
1503330456.282138,18300,0.984375
1503330471.2361617,18400,0.9453125
1503330491.5664861,18500,0.9609375
1503330507.6762738,18600,0.98828125
1503330524.949833,18700,0.94921875
1503330539.7405965,18800,0.9375
1503330554.5802917,18900,0.953125
1503330569.2419176,19000,0.98828125
1503330584.9267888,19100,0.97265625
1503330636.1968515,19400,0.90625
1503330695.2663808,19800,0.87890625
1503330709.9576135,19900,0.9140625
1503330724.4909415,20000,0.90625
1503330739.0988214,20100,0.94921875
1503330753.920938,20200,0.9375
1503330768.5360246,20300,0.95703125
1503330797.84429,20500,0.94921875
1503330812.5039153,20600,0.9375
1503330827.1550987,20700,0.9453125
1503330841.9836338,20800,0.95703125
1503330856.584637,20900,0.92578125
1503330900.3781874,21200,0.8515625
1503330914.9919086,21300,0.93359375
1503330929.7401342,21400,0.95703125
1503330944.5424287,21500,0.93359375
1503330959.2730901,21600,0.9453125
1503330973.9489233,21700,0.95703125
1503330988.6380017,21800,0.93359375
1503331003.494615,21900,0.94140625
1503331018.17425,22000,0.96875
1503331032.7934525,22100,0.96875
1503331047.4072523,22200,0.9609375
1503331061.9994273,22300,0.90625
1503331091.268143,22500,0.96484375
1503331105.9463432,22600,0.984375
1503331120.6010776,22700,0.95703125
1503331149.8663847,22900,0.9765625
1503331164.5412002,23000,0.95703125
1503331179.140455,23100,0.9375
1503331193.7718422,23200,0.984375
1503331208.388355,23300,0.984375
1503331223.1087403,23400,0.984375
1503331237.737581,23500,0.9609375
1503331267.02277,23700,0.9609375
1503331281.6285958,23800,0.97265625
1503331310.7983954,24000,0.95703125
1503331325.5069242,24100,0.98828125
1503331340.1387017,24200,0.96875
1503331369.6198516,24400,0.98046875
1503331384.3940113,24500,0.98828125
1503331398.9719112,24600,0.984375
1503331413.6772516,24700,0.890625
1503331428.277096,24800,0.9140625
1503331442.9853027,24900,0.9609375
1503331457.6111295,25000,0.96484375
1503331472.259179,25100,0.98046875
1503331486.8641198,25200,0.96484375
1503331501.6127384,25300,0.98828125
1503331516.2067604,25400,0.953125
1503331530.9618988,25500,0.90234375
1503331545.68254,25600,0.93359375
1503331574.9382184,25800,0.96484375
1503331589.5961564,25900,0.953125
1503331604.1904504,26000,0.96875
1503331618.8196523,26100,0.79296875
1503331648.3210595,26300,0.984375
1503331662.9326148,26400,0.98828125
1503331677.5651479,26500,0.94921875
1503331706.856773,26700,0.78125
1503331736.2600782,26900,0.95703125
1503331765.435214,27100,0.94140625
1503331779.9982724,27200,0.94921875
1503331794.6025875,27300,0.921875
1503331809.381859,27400,0.93359375
1503331823.9910583,27500,0.93359375
1503331853.2108352,27700,0.953125
1503331867.8861945,27800,0.90625
1503331882.5219917,27900,0.9296875
1503331897.0812728,28000,0.95703125
1503331911.6960618,28100,0.9296875
1503331926.3074358,28200,0.96484375
1503331941.266711,28300,0.9296875
1503331955.8878725,28400,0.953125
1503332000.0303488,28700,0.7890625
1503332029.2507792,28900,0.64453125
1503332058.580693,29100,0.84765625
1503332073.3587835,29200,0.890625
1503332102.6095333,29400,0.91796875
1503332117.2255306,29500,0.91015625
1503332131.8919673,29600,0.91796875
1503332146.4935818,29700,0.95703125
1503332161.156242,29800,0.92578125
1503332175.771411,29900,0.9453125
1503332190.4825177,30000,0.92578125
1503332205.0564554,30100,0.8203125
1503332219.6939838,30200,0.95703125
1503332234.296911,30300,0.95703125
1503332248.89705,30400,0.953125
1503332292.7486777,30700,0.95703125
1503332307.4424298,30800,0.9609375
1503332322.0243087,30900,0.984375
1503332336.6834652,31000,0.96875
1503332351.2283933,31100,0.9140625
1503332380.4642177,31300,0.9609375
1503332395.1698432,31400,0.7421875
1503332409.777813,31500,0.90625
1503332424.4132755,31600,0.96875
1503332439.0647135,31700,0.96484375
1503332453.6467907,31800,0.9765625
1503332468.2730618,31900,0.96875
1503332482.8981671,32000,0.95703125
1503332497.5794277,32100,0.95703125
1503332512.202447,32200,0.97265625
1503332526.8312516,32300,0.953125
1503332541.4398835,32400,0.96875
1503332556.0361962,32500,0.71484375
1503332570.666667,32600,0.97265625
1503332585.3634539,32700,0.97265625
1503332600.0479968,32800,0.98046875
1503332614.613989,32900,0.921875
1503332629.1537602,33000,0.984375
1503332643.971022,33100,0.98046875
1503332673.3657255,33300,0.97265625
1503332702.6696227,33500,0.96484375
1503332717.2231982,33600,0.95703125
1503332731.9243197,33700,0.95703125
1503332746.5186634,33800,0.98828125
1503332761.1580856,33900,0.95703125
