Wall time,Step,Value
1503370946.3860247,0,0.58203125
1503370961.6325238,100,0.44140625
1503371000.0983377,300,0.2578125
1503371016.5756297,400,0.34765625
1503371034.4950502,500,0.2578125
1503371049.7264652,600,0.546875
1503371065.5770297,700,0.26171875
1503371082.2639983,800,0.48046875
1503371098.261052,900,0.40234375
1503371113.6016233,1000,0.48046875
1503371128.9359972,1100,0.41015625
1503371144.2335246,1200,0.3984375
1503371159.487678,1300,0.63671875
1503371174.771013,1400,0.69140625
1503371189.9310453,1500,0.59765625
1503371206.544219,1600,0.69140625
1503371222.256539,1700,0.54296875
1503371237.3406053,1800,0.5078125
1503371252.487936,1900,0.515625
1503371268.1121693,2000,0.5390625
1503371283.3160121,2100,0.63671875
1503371301.8305476,2200,0.6328125
1503371319.9331543,2300,0.6171875
1503371335.99727,2400,0.67578125
1503371351.1161995,2500,0.73828125
1503371366.1371126,2600,0.56640625
1503371381.1846607,2700,0.58984375
1503371411.705292,2900,0.78125
1503371427.9224153,3000,0.9140625
1503371443.7563107,3100,0.69140625
1503371464.597397,3200,0.640625
1503371482.5852056,3300,0.7265625
1503371503.7090845,3400,0.81640625
1503371547.3174026,3600,0.78125
1503371567.1723201,3700,0.8515625
1503371588.865373,3800,0.9140625
1503371610.9696224,3900,0.6796875
1503371633.7760355,4000,0.5
1503371672.572641,4200,0.82421875
1503371693.379761,4300,0.88671875
1503371711.8744717,4400,0.890625
1503371731.0907538,4500,0.88671875
1503371751.780719,4600,0.8515625
1503371770.2923005,4700,0.73828125
1503371807.3142521,4900,0.5625
1503371833.2946403,5000,0.58203125
1503371870.0931087,5200,0.55078125
1503371889.5123525,5300,0.75390625
1503371909.0530057,5400,0.53515625
1503371928.8828764,5500,0.5390625
1503371949.0646958,5600,0.72265625
1503371969.431134,5700,0.69140625
1503372010.4213543,5900,0.62890625
1503372030.9424903,6000,0.64453125
1503372051.5349545,6100,0.703125
1503372072.3194854,6200,0.62890625
1503372092.7676072,6300,0.77734375
1503372113.025363,6400,0.79296875
1503372133.5412824,6500,0.51171875
1503372153.2400076,6600,0.59765625
1503372173.4626977,6700,0.6953125
1503372194.4523232,6800,0.5234375
1503372215.0733182,6900,0.59765625
1503372266.7973993,7100,0.75390625
1503372286.7738698,7200,0.73046875
1503372307.263002,7300,0.70703125
1503372334.8185358,7400,0.77734375
1503372355.1996531,7500,0.76953125
1503372375.6798608,7600,0.5625
1503372396.2420533,7700,0.67578125
1503372417.0216405,7800,0.69140625
1503372437.677874,7900,0.69921875
1503372478.6441047,8100,0.63671875
1503372506.9132664,8200,0.5234375
1503372548.2074533,8400,0.65234375
1503372568.6498222,8500,0.765625
1503372588.9808416,8600,0.4921875
1503372609.2493467,8700,0.55859375
1503372629.340454,8800,0.73046875
1503372649.3653803,8900,0.80078125
1503372689.5320542,9100,0.8046875
1503372709.42904,9200,0.80859375
1503372732.3015351,9300,0.89453125
1503372752.7879622,9400,0.953125
1503372773.5147123,9500,0.9453125
1503372794.0971763,9600,0.703125
1503372814.2889965,9700,0.8203125
1503372854.6483388,9900,0.77734375
1503372879.2412903,10000,0.81640625
1503372899.228172,10100,0.71484375
1503372920.1527774,10200,0.67578125
1503372940.4204814,10300,0.6171875
1503372960.4964736,10400,0.83203125
1503372980.7612936,10500,0.6875
1503373001.3070571,10600,0.8359375
1503373021.6366572,10700,0.828125
1503373041.967248,10800,0.859375
1503373062.2116153,10900,0.83984375
1503373082.276771,11000,0.8828125
1503373102.3774571,11100,0.78515625
1503373122.6765146,11200,0.77734375
1503373143.164469,11300,0.828125
1503373163.1341553,11400,0.69921875
1503373183.4759827,11500,0.4609375
1503373203.7792728,11600,0.63671875
1503373223.7830203,11700,0.79296875
1503373243.900244,11800,0.7734375
1503373265.6682763,11900,0.70703125
1503373286.0269232,12000,0.65234375
1503373308.3826425,12100,0.75
1503373328.7356586,12200,0.78125
1503373349.0056558,12300,0.8671875
1503373369.5159597,12400,0.7109375
1503373389.9488857,12500,0.76171875
1503373410.089365,12600,0.7109375
