Wall time,Step,Value
1503300521.1132426,0,0.85546875
1503300541.1519759,100,0.71875
1503300576.4211972,300,0.5859375
1503300592.5558603,400,0.5
1503300611.1680665,500,0.8125
1503300629.6767838,600,0.703125
1503300649.190159,700,0.8515625
1503300667.8788176,800,0.71875
1503300685.2362852,900,0.75
1503300704.4665053,1000,0.87109375
1503300723.2012167,1100,0.82421875
1503300740.3120394,1200,0.87109375
1503300757.0177474,1300,0.84375
1503300772.9825504,1400,0.82421875
1503300788.022412,1500,0.91796875
1503300803.0460076,1600,0.83984375
1503300817.8686562,1700,0.8515625
1503300832.7728,1800,0.56640625
1503300848.8785224,1900,0.86328125
1503300864.4739246,2000,0.82421875
1503300879.819067,2100,0.92578125
1503300894.773331,2200,0.85546875
1503300909.6622045,2300,0.87890625
1503300924.631134,2400,0.87109375
1503300939.5271957,2500,0.703125
1503300954.4871924,2600,0.74609375
1503300969.4489572,2700,0.76171875
1503300999.7730632,2900,0.7734375
1503301016.8581161,3000,0.765625
1503301031.870461,3100,0.65234375
1503301046.8540251,3200,0.609375
1503301061.8145938,3300,0.63671875
1503301076.795333,3400,0.6875
1503301106.6555765,3600,0.6484375
1503301121.7814467,3700,0.83984375
1503301136.762418,3800,0.84765625
1503301151.6677635,3900,0.734375
1503301166.6356487,4000,0.75390625
1503301196.744829,4200,0.74609375
1503301213.1584232,4300,0.8359375
1503301228.3411376,4400,0.87890625
1503301247.0330906,4500,0.84375
1503301264.6677153,4600,0.890625
1503301282.7090542,4700,0.87109375
1503301318.032302,4900,0.76953125
1503301334.3211958,5000,0.82421875
1503301366.220002,5200,0.82421875
1503301382.0289054,5300,0.71875
1503301397.7245028,5400,0.75
1503301412.9924526,5500,0.8671875
1503301429.010731,5600,0.8515625
1503301445.0687022,5700,0.90234375
1503301477.099464,5900,0.859375
1503301492.4827306,6000,0.89453125
1503301508.423676,6100,0.890625
1503301524.5598862,6200,0.7734375
1503301540.3227227,6300,0.89453125
1503301556.6381483,6400,0.7578125
1503301572.120424,6500,0.79296875
1503301588.0948563,6600,0.85546875
1503301603.7582273,6700,0.75
1503301618.8657854,6800,0.8359375
1503301634.815763,6900,0.90625
1503301666.1114311,7100,0.91015625
1503301681.9467297,7200,0.92578125
1503301698.0996614,7300,0.75
1503301714.6320467,7400,0.828125
1503301734.3102005,7500,0.859375
1503301752.529824,7600,0.8828125
1503301771.5788198,7700,0.88671875
1503301792.5652907,7800,0.9453125
1503301811.193442,7900,0.85546875
1503301846.9873478,8100,0.9296875
1503301863.4198854,8200,0.9296875
1503301896.3701684,8400,0.90625
1503301912.617151,8500,0.91796875
1503301929.9182112,8600,0.90625
1503301949.131286,8700,0.96875
1503301968.1413362,8800,0.9765625
1503301984.1554005,8900,0.86328125
1503302017.197341,9100,0.90234375
1503302033.037769,9200,0.90625
1503302051.5663214,9300,0.9140625
1503302069.4308934,9400,0.9140625
1503302087.4165854,9500,0.8828125
1503302104.4781656,9600,0.953125
1503302121.3878617,9700,0.86328125
1503302155.5930662,9900,0.890625
1503302173.0293598,10000,0.89453125
1503302190.1236742,10100,0.86328125
1503302207.32305,10200,0.92578125
1503302223.9222994,10300,0.9453125
1503302240.34582,10400,0.90625
1503302256.3724787,10500,0.9140625
1503302274.4258678,10600,0.92578125
1503302290.8603826,10700,0.9453125
1503302306.906349,10800,0.96484375
1503302323.233248,10900,0.92578125
1503302340.425434,11000,0.9375
1503302356.8720272,11100,0.91796875
1503302372.8133342,11200,0.93359375
1503302389.3195257,11300,0.91796875
1503302407.3825428,11400,0.94921875
1503302423.3846967,11500,0.92578125
1503302440.3253195,11600,0.96875
1503302457.8251534,11700,0.9453125
1503302475.0616016,11800,0.66015625
1503302491.3010073,11900,0.9765625
1503302507.4968534,12000,0.9296875
1503302524.4126,12100,0.87890625
1503302540.6498506,12200,0.9453125
1503302556.7251723,12300,0.94140625
1503302573.369539,12400,0.95703125
1503302590.9546037,12500,0.92578125
1503302608.3720071,12600,0.96484375
1503302625.892864,12700,0.93359375
1503302662.278462,12900,0.9609375
1503302680.9984803,13000,0.96484375
1503302732.0095632,13300,0.94921875
1503302748.2227914,13400,0.953125
1503302784.3890202,13600,0.96875
1503302801.4345655,13700,0.9453125
1503302835.3544781,13900,0.9609375
1503302869.7670395,14100,0.984375
1503302886.9842327,14200,0.9375
1503302903.5488498,14300,0.953125
1503302920.3138647,14400,0.97265625
1503302938.8111546,14500,0.87109375
1503302957.5433996,14600,0.80078125
1503302993.3944678,14800,0.84375
1503303009.2551074,14900,0.85546875
1503303025.036901,15000,0.91796875
1503303040.5924988,15100,0.91796875
1503303072.2653036,15300,0.8828125
1503303089.4468048,15400,0.8984375
1503303106.0307844,15500,0.92578125
1503303122.84421,15600,0.9609375
1503303140.5090806,15700,0.8828125
1503303156.9688373,15800,0.921875
1503303174.9552279,15900,0.95703125
1503303207.369562,16100,0.9296875
1503303225.3148925,16200,0.9296875
1503303257.4952617,16400,0.95703125
1503303273.7264056,16500,0.94140625
1503303308.6437626,16700,0.9765625
1503303325.7529635,16800,0.93359375
1503303342.9044583,16900,0.9609375
1503303376.5373375,17100,0.921875
1503303392.090925,17200,0.9296875
1503303409.7216506,17300,0.87890625
1503303441.1317196,17500,0.88671875
1503303455.9307823,17600,0.91796875
1503303470.8064709,17700,0.921875
1503303485.7585084,17800,0.90234375
1503303515.4451327,18000,0.9296875
1503303530.6038928,18100,0.89453125
1503303545.743132,18200,0.92578125
1503303560.5758436,18300,0.9375
1503303575.3941445,18400,0.94921875
1503303590.3334713,18500,0.9375
1503303605.568736,18600,0.8671875
1503303620.3302302,18700,0.953125
1503303635.2028258,18800,0.94921875
1503303650.0813148,18900,0.9140625
1503303665.0533566,19000,0.9375
1503303679.96039,19100,0.83984375
1503303725.9645514,19400,0.85546875
1503303785.528267,19800,0.9296875
1503303800.464012,19900,0.88671875
1503303815.2457795,20000,0.921875
1503303830.0895813,20100,0.9375
1503303844.9832141,20200,0.92578125
1503303859.8056538,20300,0.8359375
1503303889.5835724,20500,0.94921875
1503303904.3982024,20600,0.921875
1503303919.8325336,20700,0.96484375
1503303934.8016012,20800,0.94921875
1503303949.5381422,20900,0.9609375
1503303994.1900804,21200,0.94921875
1503304009.1200383,21300,0.95703125
1503304023.8311284,21400,0.98046875
1503304038.659283,21500,0.90625
1503304053.3921993,21600,0.953125
1503304068.2032483,21700,0.9609375
1503304082.9265633,21800,0.95703125
1503304098.0326362,21900,0.95703125
1503304112.98858,22000,0.86328125
1503304127.908411,22100,0.9453125
1503304142.7239425,22200,0.97265625
1503304157.5267458,22300,0.95703125
1503304187.432209,22500,0.98046875
1503304202.9069946,22600,0.91796875
1503304217.79402,22700,0.85546875
1503304250.399407,22900,0.94921875
1503304268.4419882,23000,0.9375
1503304287.7497826,23100,0.953125
1503304303.958497,23200,0.97265625
1503304320.2712917,23300,0.9609375
1503304337.0901113,23400,0.9609375
1503304352.5107417,23500,0.98828125
1503304382.452642,23700,0.96875
1503304397.5724978,23800,0.94921875
1503304427.4122362,24000,0.71875
1503304442.2622836,24100,0.96875
1503304457.0815396,24200,0.828125
1503304487.2560413,24400,0.91796875
1503304501.9810932,24500,0.94140625
1503304516.8458602,24600,0.9140625
1503304531.807023,24700,0.828125
1503304546.697864,24800,0.9609375
1503304561.4722927,24900,0.96484375
1503304576.3524556,25000,0.93359375
1503304591.1346738,25100,0.96875
1503304606.0267773,25200,0.87109375
1503304620.8273668,25300,0.9609375
1503304635.6530538,25400,0.9609375
1503304650.856933,25500,0.9609375
1503304665.945406,25600,0.9375
1503304695.6774297,25800,0.95703125
1503304710.4570005,25900,0.95703125
1503304725.5091364,26000,0.93359375
1503304740.327653,26100,0.90625
1503304770.0433786,26300,0.984375
1503304785.2621274,26400,0.90234375
1503304800.2656035,26500,0.5234375
1503304830.098053,26700,0.88671875
1503304864.2356977,26900,0.9609375
1503304903.2281537,27100,0.7421875
1503304922.0160108,27200,0.80078125
1503304938.4117439,27300,0.90625
1503304953.9856708,27400,0.94921875
1503304969.8783422,27500,0.98828125
1503305001.3816576,27700,0.94140625
1503305017.7157264,27800,0.94921875
1503305032.9533665,27900,0.89453125
1503305047.788789,28000,0.95703125
1503305062.7616842,28100,0.95703125
1503305077.7008533,28200,0.9765625
1503305092.7047744,28300,0.97265625
1503305108.6711257,28400,0.96875
1503305157.0802999,28700,0.98828125
1503305190.276052,28900,0.96875
1503305221.766341,29100,0.86328125
1503305236.8588006,29200,0.9296875
1503305267.7502978,29400,0.890625
1503305282.993547,29500,0.94140625
1503305298.2313454,29600,0.953125
1503305313.1867926,29700,0.96484375
1503305328.1978621,29800,0.96875
1503305344.437394,29900,0.953125
1503305360.5797713,30000,0.9375
1503305379.2892473,30100,0.9453125
1503305396.4661586,30200,0.94140625
1503305414.3077807,30300,0.8828125
1503305431.1937418,30400,0.9453125
1503305478.790024,30700,0.92578125
1503305494.5079496,30800,0.9609375
1503305512.3965306,30900,0.96484375
1503305528.9621315,31000,0.93359375
1503305544.3067648,31100,0.9375
1503305574.9851718,31300,0.953125
1503305589.9282331,31400,0.95703125
1503305604.8459692,31500,0.95703125
1503305619.7494738,31600,0.86328125
1503305634.7458932,31700,0.8203125
1503305649.9500952,31800,0.90625
1503305665.221302,31900,0.9765625
1503305679.991313,32000,0.9765625
1503305694.8862,32100,0.9296875
1503305710.9348607,32200,0.98046875
1503305726.5441232,32300,0.9765625
1503305741.5427067,32400,0.96875
1503305757.7765934,32500,0.953125
1503305775.6236687,32600,0.96875
1503305792.247122,32700,0.96875
1503305807.7930121,32800,0.73828125
1503305825.7868044,32900,0.9140625
1503305843.3652754,33000,0.98046875
1503305863.6955078,33100,0.9609375
1503305899.9123652,33300,0.96875
1503305935.1615944,33500,0.98046875
1503305951.288668,33600,0.96875
1503305966.7143965,33700,0.9453125
1503305983.473459,33800,0.94921875
1503306000.2433307,33900,0.94140625
1503306018.194973,34000,0.98046875
1503306034.4089308,34100,0.9296875
1503306051.645088,34200,0.98828125
1503306068.547519,34300,0.96875
1503306085.1974397,34400,0.97265625
1503306102.9085798,34500,0.98828125
1503306119.3768616,34600,0.9609375
1503306135.647097,34700,0.9609375
1503306152.1332223,34800,0.984375
1503306168.9952788,34900,0.98046875
1503306185.4739392,35000,0.9453125
1503306202.1844707,35100,0.94140625
1503306218.8147647,35200,0.99609375
1503306234.5906527,35300,0.98046875
1503306250.3257108,35400,0.96484375
1503306265.6724303,35500,0.97265625
1503306281.9536197,35600,0.921875
1503306298.4759636,35700,0.9609375
1503306313.5793405,35800,0.98046875
1503306329.2324789,35900,0.97265625
1503306345.608413,36000,0.9609375
1503306361.6156738,36100,0.94921875
1503306376.892149,36200,0.96875
1503306391.8479981,36300,0.69140625
1503306407.4622166,36400,0.71875
1503306422.6666422,36500,0.96484375
1503306437.8740156,36600,0.984375
1503306453.0323215,36700,0.9453125
1503306468.3371794,36800,0.9375
1503306500.3367946,37000,0.95703125
