Wall time,Step,Value
1503327045.0261576,100,0.34765625
1503327067.5762596,200,0.30078125
1503327112.9171658,400,0.71875
1503327137.971699,500,0.7265625
1503327159.3539448,600,0.671875
1503327181.057157,700,0.77734375
1503327203.5191216,800,0.80859375
1503327223.896086,900,0.6953125
1503327247.0122051,1000,0.73046875
1503327266.9369059,1100,0.6875
1503327287.1927958,1200,0.72265625
1503327306.290853,1300,0.6953125
1503327324.9927087,1400,0.6796875
1503327343.779213,1500,0.734375
1503327363.0404432,1600,0.65625
1503327382.0146601,1700,0.6796875
1503327400.7617755,1800,0.70703125
1503327419.4941363,1900,0.6796875
1503327438.5743132,2000,0.70703125
1503327457.3396533,2100,0.72265625
1503327475.942846,2200,0.703125
1503327494.7492557,2300,0.66015625
1503327513.503608,2400,0.71875
1503327531.9859087,2500,0.70703125
1503327550.2862346,2600,0.74609375
1503327568.768342,2700,0.7421875
1503327587.5603683,2800,0.734375
1503327624.7315674,3000,0.71875
1503327643.3304682,3100,0.73046875
1503327662.1755207,3200,0.73828125
1503327684.2911966,3300,0.73046875
1503327706.5419974,3400,0.6796875
1503327728.7474427,3500,0.72265625
1503327774.28004,3700,0.69921875
1503327793.4866662,3800,0.6484375
1503327816.9025207,3900,0.765625
1503327841.0445487,4000,0.71875
1503327862.6791043,4100,0.75390625
1503327907.8352752,4300,0.7734375
1503327932.3274295,4400,0.7265625
1503327954.487812,4500,0.73046875
1503327977.0235617,4600,0.78125
1503327997.0156455,4700,0.78125
1503328018.143173,4800,0.80859375
1503328058.081103,5000,0.74609375
1503328079.1816316,5100,0.7578125
1503328123.92039,5300,0.76171875
1503328143.6287127,5400,0.71875
1503328163.150623,5500,0.70703125
1503328182.9337864,5600,0.68359375
1503328202.524266,5700,0.71484375
1503328221.8813744,5800,0.703125
1503328260.7822855,6000,0.73828125
1503328280.1634576,6100,0.73046875
1503328299.5814197,6200,0.73046875
1503328318.9738014,6300,0.7734375
1503328338.2269921,6400,0.76171875
1503328357.3984275,6500,0.72265625
1503328376.7748888,6600,0.765625
1503328396.1012125,6700,0.80078125
1503328415.438893,6800,0.76953125
1503328434.9567778,6900,0.796875
1503328454.1677825,7000,0.8125
1503328493.0528064,7200,0.8046875
1503328512.523644,7300,0.69921875
1503328531.8653045,7400,0.8046875
1503328551.2345583,7500,0.7578125
1503328570.5153525,7600,0.78125
1503328589.9133909,7700,0.796875
1503328612.3346171,7800,0.77734375
1503328631.5514133,7900,0.7421875
1503328650.7485116,8000,0.80859375
1503328689.356519,8200,0.73046875
1503328708.6967802,8300,0.76171875
1503328747.2090998,8500,0.7578125
1503328766.3715923,8600,0.6640625
1503328785.6538298,8700,0.71875
1503328804.9958377,8800,0.7265625
1503328824.306633,8900,0.74609375
1503328843.3488517,9000,0.703125
1503328880.4326112,9200,0.73828125
1503328898.9702342,9300,0.66015625
1503328917.654817,9400,0.7734375
1503328935.982053,9500,0.7109375
1503328954.5928228,9600,0.71484375
1503328972.9389775,9700,0.67578125
1503328991.5344074,9800,0.6796875
1503329028.3023796,10000,0.734375
1503329047.0082827,10100,0.74609375
1503329065.5968852,10200,0.7265625
1503329083.8535342,10300,0.734375
1503329102.3503354,10400,0.796875
1503329120.576032,10500,0.74609375
1503329139.098172,10600,0.79296875
1503329157.4425662,10700,0.765625
1503329175.9256208,10800,0.7578125
1503329194.4393194,10900,0.6953125
1503329212.7047572,11000,0.72265625
1503329231.2914407,11100,0.72265625
1503329251.3613172,11200,0.7265625
1503329270.2246847,11300,0.6953125
1503329288.9667797,11400,0.72265625
1503329307.6477911,11500,0.73828125
1503329326.3978772,11600,0.6796875
1503329345.0069654,11700,0.71875
1503329363.9635308,11800,0.671875
1503329382.7262719,11900,0.734375
1503329401.437418,12000,0.73046875
1503329420.0956225,12100,0.70703125
1503329439.1132457,12200,0.68359375
1503329457.9888647,12300,0.69140625
1503329476.570743,12400,0.6796875
1503329495.301559,12500,0.7109375
1503329514.2479002,12600,0.70703125
1503329532.7354352,12700,0.66015625
1503329551.5247939,12800,0.6796875
1503329589.2419446,13000,0.6953125
1503329607.8652954,13100,0.703125
1503329626.6473596,13200,0.73046875
1503329663.8907983,13400,0.765625
1503329682.7153971,13500,0.734375
1503329719.7864013,13700,0.6953125
1503329738.5128698,13800,0.68359375
1503329776.047752,14000,0.703125
1503329813.5754488,14200,0.74609375
1503329832.3898983,14300,0.73046875
1503329851.1051037,14400,0.71484375
1503329869.945023,14500,0.75
1503329888.504544,14600,0.73046875
1503329907.064955,14700,0.78125
1503329944.295602,14900,0.7734375
1503329959.0395486,15000,0.796875
1503329973.8067367,15100,0.7578125
1503329988.519799,15200,0.7578125
1503330018.270124,15400,0.7578125
1503330033.1613743,15500,0.765625
1503330047.9086642,15600,0.71484375
1503330062.7666423,15700,0.78125
1503330077.7492023,15800,0.7265625
1503330092.621454,15900,0.72265625
1503330107.403691,16000,0.7890625
1503330137.0472727,16200,0.74609375
1503330151.9167914,16300,0.7734375
1503330181.5771291,16500,0.7421875
1503330196.328349,16600,0.75390625
1503330226.0203843,16800,0.7109375
1503330240.9121785,16900,0.75
1503330255.706756,17000,0.734375
1503330285.4029272,17200,0.73828125
1503330300.2459462,17300,0.68359375
1503330315.0234833,17400,0.71484375
1503330344.8028688,17600,0.703125
1503330359.5535798,17700,0.71875
1503330375.2128575,17800,0.6953125
1503330392.6025674,17900,0.7421875
1503330423.1055918,18100,0.7265625
1503330440.3732722,18200,0.69921875
1503330456.3636627,18300,0.75
1503330471.318514,18400,0.73046875
1503330491.6662645,18500,0.6953125
1503330507.7653532,18600,0.72265625
1503330525.0308967,18700,0.7265625
1503330539.8226979,18800,0.6640625
1503330554.6622598,18900,0.625
1503330569.3214602,19000,0.71875
1503330585.009403,19100,0.78515625
1503330603.8882098,19200,0.734375
1503330650.9592566,19500,0.7265625
1503330710.0366392,19900,0.7109375
1503330724.5725045,20000,0.7734375
1503330739.190557,20100,0.76953125
1503330754.0035517,20200,0.703125
1503330768.616751,20300,0.671875
